design,design_name,config,flow_status,total_runtime,routed_runtime,(Cell/mm^2)/Core_Util,DIEAREA_mm^2,CellPer_mm^2,OpenDP_Util,Final_Util,Peak_Memory_Usage_MB,synth_cell_count,tritonRoute_violations,Short_violations,MetSpc_violations,OffGrid_violations,MinHole_violations,Other_violations,Magic_violations,pin_antenna_violations,net_antenna_violations,lvs_total_errors,cvc_total_errors,klayout_violations,wire_length,vias,wns,pl_wns,optimized_wns,fastroute_wns,spef_wns,tns,pl_tns,optimized_tns,fastroute_tns,spef_tns,HPWL,routing_layer1_pct,routing_layer2_pct,routing_layer3_pct,routing_layer4_pct,routing_layer5_pct,routing_layer6_pct,wires_count,wire_bits,public_wires_count,public_wire_bits,memories_count,memory_bits,processes_count,cells_pre_abc,AND,DFF,NAND,NOR,OR,XOR,XNOR,MUX,inputs,outputs,level,DecapCells,WelltapCells,DiodeCells,FillCells,NonPhysCells,TotalCells,CoreArea_um^2,power_slowest_internal_uW,power_slowest_switching_uW,power_slowest_leakage_uW,power_typical_internal_uW,power_typical_switching_uW,power_typical_leakage_uW,power_fastest_internal_uW,power_fastest_switching_uW,power_fastest_leakage_uW,critical_path_ns,suggested_clock_period,suggested_clock_frequency,CLOCK_PERIOD,FP_ASPECT_RATIO,FP_CORE_UTIL,FP_PDN_HPITCH,FP_PDN_VPITCH,GRT_ADJUSTMENT,GRT_REPAIR_ANTENNAS,PL_TARGET_DENSITY,RUN_HEURISTIC_DIODE_INSERTION,STD_CELL_LIBRARY,SYNTH_MAX_FANOUT,SYNTH_STRATEGY
peripheral_unit_4,peripheral_unit,matrix_config_0,flow failed,3h41m20s0ms,1h31m20s0ms,7456.802615193026,10.2784,3728.401307596513,3.6,-1,13073.01,33664,0,0,0,0,0,0,0,41,40,0,-1,-1,1595366,278401,0.0,-1,-1,-1,-0.35,0.0,-1,-1,-1,-0.35,1154181774.0,0.0,4.39,5.12,0.45,1.18,0.0,28058,46388,2707,18777,0,0,0,33260,1355,337,824,1981,5582,4202,566,1834,6268,6061,31,708353,144900,416,150908,38322,1042899,10173980.1536,-1,-1,-1,0.038,0.0217,6.93e-07,-1,-1,-1,9.7,12.35,80.97165991902834,12,1,50,180,180,0.3,1,0.6,0,sky130_fd_sc_hd,30,AREA 0
peripheral_unit_4,peripheral_unit,matrix_config_1,flow failed,3h42m41s0ms,1h32m45s0ms,7411.659402241595,10.2784,3705.8297011207974,3.6,-1,13060.91,33664,0,0,0,0,0,0,0,29,29,0,-1,-1,1569419,278402,0.0,-1,-1,-1,-0.23,0.0,-1,-1,-1,-0.23,1165285849.0,0.0,4.31,5.1,0.41,1.06,0.0,28058,46388,2707,18777,0,0,0,33260,1355,337,824,1981,5582,4202,566,1834,6268,6061,31,708847,144900,447,151049,38090,1043333,10173980.1536,-1,-1,-1,0.0363,0.0211,6.93e-07,-1,-1,-1,9.58,12.23,81.76614881439085,12,1,50,180,180,0.3,1,0.6,0,sky130_fd_sc_hd,30,AREA 0
peripheral_unit_4,peripheral_unit,matrix_config_2,flow failed,3h45m19s0ms,1h38m29s0ms,7417.107721046077,10.2784,3708.5538605230386,3.6,-1,13100.48,33664,0,0,0,0,0,0,0,30,30,0,-1,-1,1597346,280997,0.0,-1,-1,-1,0.0,0.0,-1,-1,-1,0.0,1209850227.0,0.0,4.36,5.14,0.48,1.09,0.0,28058,46388,2707,18777,0,0,0,33260,1355,337,824,1981,5582,4202,566,1834,6268,6061,31,708823,144900,456,151271,38118,1043568,10173980.1536,-1,-1,-1,0.0374,0.0217,6.95e-07,-1,-1,-1,8.88,12.0,83.33333333333333,12,1,50,180,180,0.3,1,0.6,0,sky130_fd_sc_hd,30,AREA 0
