net,length_um
_1782_,94.6
i_decode_stage.decode_state_o\[59\],94.26
_0927_,93.42
_0355_,92.96
_0466_,92.96
_0692_,92.84
clknet_leaf_4_clk_i,92.68
i_decode_stage.decode_state_o\[71\],92.6
_0391_,92.58
_0481_,92.51
i_decode_stage.decode_state_o\[124\],92.22
net260,92.185
_0831_,91.8
_1810_,91.75
i_mem_slice_stage.mem_state_o\[26\],91.18
_1291_,91.12
net149,90.98
_0548_,90.92
_0560_,90.9
_1649_,90.68
i_decode_stage.decode_state_o\[125\],90.68
_1022_,90.54
_1780_,90.5
i_decode_stage.fetch_state_i\[2\],90.42
_0527_,90.04
_1032_,89.92
_0675_,89.52
i_decode_stage.fetch_state_i\[57\],89.28
i_decode_stage.decode_state_o\[120\],89.2
_1208_,89.19
i_decode_stage.decode_state_o\[53\],89.18
_0873_,88.9
_0341_,88.76
i_mem_slice_stage.mem_state_o\[72\],88.54
_1501_,88.48
_1813_,88.12
net250,87.84
_1834_,87.76
_0564_,87.48
_1315_,86.81
_0547_,86.06
_0606_,85.53
i_decode_stage.decode_state_o\[238\],85.36
i_mem_slice_stage.mem_state_o\[27\],85.23
net185,84.94
_1154_,84.92
net247,84.82
_1396_,84.52
_0580_,84.24
_0605_,84.24
_0553_,84.16
_0510_,84.1
_1299_,83.63
_0751_,83.31
i_decode_stage.fetch_state_i\[16\],83.2
_0849_,83.18
i_decode_stage.decode_state_o\[56\],83.06
net252,82.94
net258,82.48
i_decode_stage.reg_meta_o\[45\],82.4
clknet_leaf_11_clk_i,82.3
i_decode_stage.decode_state_o\[236\],82.045
net256,81.49
net196,81.13
_1216_,79.76
i_decode_stage.valid_o,79.74
_0829_,79.4
i_decode_stage.reg_meta_o\[43\],79.38
i_exec_stage.data_fwd_o\[12\],79.32
_0504_,79.29
_1218_,78.095
i_decode_stage.decode_state_o\[233\],77.92
_0561_,77.79
i_mem_slice_stage.mem_state_o\[15\],77.72
_0498_,77.68
_1012_,77.52
net249,77.42
_0509_,77.3
_0497_,76.34
_0524_,76.3
i_decode_stage.decode_state_o\[41\],76.16
_0444_,76.02
_0566_,76.02
_1792_,75.88
net21,75.59
_1590_,75.44
i_decode_stage.reg_meta_o\[44\],74.94
_1545_,74.64
_0593_,74.54
_0720_,74.2
_0809_,74.06
_0480_,74.04
_0474_,74.02
net18,73.48
net103,73.4
i_decode_stage.fetch_state_i\[46\],73.38
i_decode_stage.decode_state_o\[128\],73.25
_1376_,73.14
_0467_,73.12
_0857_,72.9
_0542_,72.7
_1628_,72.665
_0534_,72.36
net171,72.3
_1313_,72.23
net169,72.22
net198,72.18
_1110_,72.16
_1004_,71.7
_0764_,71.445
net194,71.42
_0846_,71.38
net255,71.18
_1476_,71.13
i_decode_stage.decode_state_o\[40\],70.96
net265,70.82
_1523_,70.68
i_decode_stage.decode_state_o\[42\],70.66
_1687_,70.6
_0840_,70.58
_0554_,70.42
_0620_,70.38
_1350_,70.29
clknet_leaf_14_clk_i,70.2
_0505_,70.09
i_decode_stage.reg_meta_o\[46\],70.06
_1095_,69.68
_0458_,68.64
_1454_,68.52
i_decode_stage.decode_state_o\[61\],68.28
i_decode_stage.decode_state_o\[232\],68.26
_1340_,68.21
_0462_,68.2
_1475_,67.955
_0665_,67.835
_0664_,67.8
i_decode_stage.decode_state_o\[54\],67.76
_0322_,67.58
net257,67.4
_1710_,67.19
i_decode_stage.decode_state_o\[60\],67.16
_0866_,67.04
i_decode_stage.fetch_state_i\[52\],66.98
_1807_,66.97
net170,66.88
i_mem_slice_stage.mem_state_o\[19\],66.76
_1507_,66.62
_1774_,66.42
_0754_,66.38
_0852_,65.96
_1195_,65.62
_1942_,65.54
net22,65.44
_2019_,65.2
_1607_,64.88
_0762_,64.79
_0805_,64.72
_1791_,64.72
i_decode_stage.decode_state_o\[7\],64.625
i_decode_stage.decode_state_o\[55\],64.26
_1688_,64.02
_1571_,63.94
_1074_,63.88
_1557_,63.7
_1304_,63.62
i_decode_stage.decode_state_o\[237\],63.5
_1257_,63.48
i_decode_stage.reg_meta_o\[59\],62.9
_1284_,62.81
_1766_,62.74
i_mem_slice_stage.mem_state_o\[75\],62.74
_0763_,62.38
_0796_,62.3
i_mem_slice_stage.mem_state_o\[12\],62.08
i_mem_slice_stage.mem_state_o\[10\],62.04
_1692_,61.8
i_decode_stage.fetch_state_i\[45\],61.78
_2083_,61.7
_0363_,61.58
_1183_,61.1
i_mem_slice_stage.mem_state_o\[16\],60.66
_1112_,60.5
i_decode_stage.reg_meta_o\[14\],60.32
i_mem_slice_stage.mem_state_o\[17\],60.12
_0801_,60
i_decode_stage.reg_meta_o\[47\],59.98
_1683_,59.88
_0752_,59.57
i_exec_stage.exec_state_o\[57\],59.24
i_exec_stage.exec_state_o\[1\],59.22
_1060_,59.05
net130,58.96
_0544_,58.86
_2079_,58.84
_1480_,58.83
_1562_,58.82
_0493_,58.7
_0977_,58.26
_2118_,58.2
_1554_,58.12
net13,57.84
_1348_,57.76
_0369_,57.7
net25,57.62
i_decode_stage.reg_meta_o\[52\],57.56
i_decode_stage.fetch_state_i\[15\],57.42
_0393_,57.36
_1279_,57.36
i_decode_stage.reg_meta_o\[10\],57.14
_0838_,57.08
_1504_,57.06
_0958_,57.04
net121,57.04
_1322_,57.01
_0728_,56.86
_0374_,56.78
_1516_,56.68
_0784_,56.62
i_mem_slice_stage.mem_state_o\[25\],56.6
_1550_,56.56
_0792_,56.4
_1087_,56.34
_1275_,56.04
clknet_leaf_12_clk_i,56.04
_1436_,56.005
_1441_,55.88
net126,55.88
i_decode_stage.reg_meta_o\[17\],55.82
_1328_,55.68
i_decode_stage.reg_meta_o\[6\],55.54
net20,55.34
_0382_,55.18
i_exec_stage.data_fwd_o\[2\],55.065
_0770_,55.06
_1371_,54.92
_0814_,54.8
_1492_,54.76
_1790_,54.62
net407,54.6
net413,54.5
net168,54.48
_0316_,54.2
net105,54.18
i_mem_slice_stage.mem_state_o\[18\],53.97
i_decode_stage.reg_meta_o\[73\],53.86
_2153_,53.8
_1179_,53.72
i_decode_stage.reg_meta_o\[12\],53.64
_1815_,53.5
i_mem_slice_stage.mem_state_o\[79\],53.44
_1789_,53.42
_1207_,53.25
net86,53.24
_1086_,53.22
_0549_,53.16
_1141_,53.08
_0530_,52.98
i_exec_stage.data_fwd_o\[34\],52.86
i_decode_stage.decode_state_o\[58\],52.84
_1392_,52.8
i_exec_stage.data_fwd_o\[3\],52.8
_1281_,52.665
i_decode_stage.decode_state_o\[234\],52.62
_1171_,52.58
net17,52.52
i_exec_stage.data_fwd_o\[9\],52.42
i_mem_slice_stage.mem_state_o\[13\],52.32
_0766_,52.28
i_exec_stage.exec_state_o\[56\],52.2
_0757_,51.88
_1560_,51.76
i_decode_stage.reg_meta_o\[35\],51.74
_1498_,51.54
i_mem_slice_stage.pre_data\[24\],51.26
_2135_,51.08
_0631_,50.99
_0935_,50.96
_0428_,50.82
_1223_,50.7
_1588_,50.5
_1142_,50.45
i_exec_stage.data_fwd_o\[14\],50.42
_0450_,50.4
_1267_,50.4
_1735_,50.4
_1360_,50.24
i_mem_slice_stage.mem_state_o\[78\],50.14
_1703_,50.04
net183,50.02
i_decode_stage.reg_meta_o\[51\],50
i_exec_stage.exec_state_o\[4\],49.88
_1028_,49.56
_1393_,49.45
_1222_,49.32
i_decode_stage.decode_state_o\[243\],49.22
_1018_,49.18
_0661_,48.86
i_decode_stage.reg_meta_o\[16\],48.8
i_decode_stage.reg_meta_o\[13\],48.74
_0459_,48.52
_0320_,48.42
_1125_,48.32
i_decode_stage.fetch_state_i\[51\],48.28
net191,48.24
_0490_,48.16
_1478_,48.16
i_decode_stage.fetch_state_i\[48\],48.1
_1177_,47.94
_0959_,47.88
_2112_,47.78
_0925_,47.66
net410,47.425
_1065_,47.405
_0729_,47.36
_0409_,47.2
i_mem_slice_stage.mem_state_o\[7\],47.2
_0817_,47.12
_1809_,47.01
i_mem_slice_stage.pre_data\[3\],46.94
_1425_,46.84
_2065_,46.84
net10,46.66
_0976_,46.58
_2049_,46.54
_1793_,46.52
_0788_,46.4
_1143_,46.38
net73,46.32
_0492_,45.88
_0647_,45.88
_0834_,45.72
_1370_,45.7
i_decode_stage.decode_state_o\[20\],45.68
_0748_,45.62
_1903_,45.46
_1627_,45.435
net98,45.32
_0779_,45.3
_0653_,45.22
net19,45.14
_1417_,45.04
net69,45
_0611_,44.98
_1188_,44.92
_2053_,44.7
_0975_,44.58
i_exec_stage.data_fwd_o\[16\],44.52
_1375_,44.5
_0676_,44.28
_0739_,44.2
net76,44.08
_2055_,44
_0636_,43.86
_1238_,43.85
i_decode_stage.reg_meta_o\[54\],43.84
_0810_,43.8
net116,43.44
_0767_,43.28
_1580_,43.26
_0747_,43.2
net15,43.16
net68,42.78
_0418_,42.66
_0669_,42.66
i_decode_stage.reg_meta_o\[34\],42.62
_0678_,42.58
i_exec_stage.data_fwd_o\[6\],42.36
_1800_,42.315
i_mem_slice_stage.pre_data\[2\],42.225
_1228_,42.2
_1720_,42.2
i_exec_stage.exec_state_o\[2\],42.16
_0879_,42.12
_0378_,42.02
_0572_,41.88
_1106_,41.72
i_decode_stage.reg_meta_o\[48\],41.72
i_exec_stage.valid,41.64
_1722_,41.58
_0989_,41.52
_1394_,41.52
i_mem_slice_stage.mem_state_o\[81\],41.52
i_decode_stage.reg_meta_o\[64\],41.43
i_decode_stage.fetch_state_i\[39\],41.22
i_decode_stage.fetch_state_i\[5\],41.08
_1217_,40.88
_0865_,40.82
net87,40.78
_2125_,40.76
_0746_,40.46
_1423_,40.46
_1926_,40.46
net84,40.42
_0790_,40.415
net71,40.4
i_decode_stage.fetch_state_i\[6\],40.32
net108,40.32
net182,40.32
_1544_,40.19
_1259_,40.18
_0967_,40.14
i_decode_stage.fetch_state_i\[3\],40.06
_1647_,39.95
_1902_,39.92
_1519_,39.9
_0853_,39.84
i_decode_stage.reg_meta_o\[7\],39.82
i_mem_slice_stage.mem_state_o\[14\],39.82
_0847_,39.8
_0858_,39.8
net85,39.8
_2101_,39.68
_1433_,39.62
_1298_,39.6
_1775_,39.54
_0379_,39.48
net190,39.48
_0332_,39.4
_0876_,39.38
_0984_,39.3
net77,39.28
i_mem_slice_stage.pre_data\[14\],39.11
_0311_,39.06
_1435_,39
_0693_,38.94
i_decode_stage.fetch_state_i\[17\],38.78
_1533_,38.76
net7,38.76
i_decode_stage.reg_meta_o\[9\],38.74
_0376_,38.62
_0755_,38.62
_0370_,38.52
_0738_,38.45
net117,38.42
_0826_,38.28
i_mem_slice_stage.mem_state_o\[8\],38.22
i_exec_stage.exec_state_o\[7\],38.06
_0983_,37.99
_0968_,37.98
_0811_,37.56
_0377_,37.36
_1083_,37.28
_1374_,37.28
net70,37.12
_1491_,37
_0405_,36.895
_1288_,36.84
net111,36.78
_0960_,36.72
_0938_,36.69
_0333_,36.66
net94,36.56
_0869_,36.48
_1794_,36.34
_0964_,36.31
_1555_,36.31
_0854_,36.26
_0338_,36.25
_1245_,36.24
_1637_,36.22
i_decode_stage.reg_meta_o\[61\],36.18
_1409_,36.12
_0844_,36.06
_0919_,36.04
_0877_,35.96
_0981_,35.86
i_decode_stage.fetch_state_i\[8\],35.84
i_mem_slice_stage.mem_state_o\[80\],35.82
i_decode_stage.reg_meta_o\[36\],35.76
_0897_,35.755
_1176_,35.7
_1828_,35.7
_1194_,35.64
i_decode_stage.reg_meta_o\[57\],35.32
i_decode_stage.fetch_state_i\[44\],35.3
_1644_,35.195
_2073_,35.1
net8,34.97
_1566_,34.94
_1787_,34.94
_0546_,34.78
_1921_,34.72
_1152_,34.655
_1521_,34.65
_0966_,34.64
i_decode_stage.reg_meta_o\[55\],34.56
_0782_,34.5
i_decode_stage.decode_state_o\[29\],34.48
_0773_,34.395
_0325_,34.24
i_decode_stage.decode_state_o\[66\],34.22
i_decode_stage.reg_meta_o\[56\],34.22
_0592_,34.18
i_mem_slice_stage.mem_state_o\[9\],34.14
net95,34.12
_0359_,34.06
_0628_,34.02
_1802_,33.985
_0774_,33.94
_0598_,33.66
_0920_,33.66
_2340_,33.58
i_decode_stage.fetch_state_i\[13\],33.28
net102,33.22
_0335_,33.18
_0837_,33.12
_1225_,33.08
i_mem_slice_stage.pre_data\[11\],33.025
_1943_,32.96
net14,32.92
_1035_,32.89
_0621_,32.88
_2123_,32.7
_1573_,32.63
_0506_,32.54
_1734_,32.54
_0893_,32.4
_1009_,32.36
_0843_,32.02
_1563_,32.02
_0985_,32
_0881_,31.88
i_decode_stage.fetch_state_i\[53\],31.88
_1003_,31.84
i_decode_stage.decode_state_o\[24\],31.82
_2145_,31.8
i_decode_stage.decode_state_o\[18\],31.78
_1332_,31.675
_2117_,31.66
_1212_,31.48
_2085_,31.48
i_decode_stage.decode_state_o\[241\],31.46
_0970_,31.42
_1415_,31.4
_1251_,31.34
_0658_,31.26
_0740_,31.24
i_decode_stage.fetch_state_i\[19\],30.92
_0828_,30.9
i_exec_stage.data_fwd_o\[1\],30.86
_1105_,30.83
_0737_,30.82
_0904_,30.735
_1084_,30.725
_1638_,30.7
i_mem_slice_stage.pre_data\[10\],30.685
_0952_,30.62
_1632_,30.56
i_mem_slice_stage.mem_state_o\[21\],30.56
_1255_,30.5
_1413_,30.46
i_decode_stage.decode_state_o\[3\],30.42
i_decode_stage.fetch_state_i\[9\],30.42
_0408_,30.38
_0972_,30.34
i_mem_slice_stage.mem_state_o\[5\],30.34
net189,30.34
_1072_,30.32
i_decode_stage.fetch_state_i\[31\],30.26
_0982_,30.24
_2131_,30.22
_0936_,30.2
i_decode_stage.reg_meta_o\[18\],30.2
_1234_,30.18
_0880_,30.16
_0926_,30.08
net9,30
i_mem_slice_stage.pre_data\[7\],29.96
i_decode_stage.reg_meta_o\[20\],29.92
_0775_,29.86
dmem_addr_o[18],29.83
_1935_,29.82
i_mem_slice_stage.mem_state_o\[4\],29.78
dmem_be_o[1],29.75
_0884_,29.68
_0337_,29.66
_1185_,29.64
_1522_,29.56
_0832_,29.54
i_mem_slice_stage.mem_state_o\[11\],29.5
_1648_,29.43
net110,29.42
_2140_,29.28
_0965_,29.22
_0929_,29.2
_0577_,29.16
net30,29.05
_0898_,29.04
_0913_,29.02
_2081_,28.95
_0686_,28.86
_2069_,28.84
_0442_,28.74
_1001_,28.72
net100,28.72
_2028_,28.715
i_exec_stage.data_fwd_o\[33\],28.7
_1663_,28.68
_2067_,28.68
_2105_,28.68
_1869_,28.62
i_exec_stage.data_fwd_o\[28\],28.56
i_mem_slice_stage.pre_data\[1\],28.54
_1137_,28.52
net11,28.42
_0889_,28.4
_1540_,28.4
i_mem_slice_stage.pre_data\[5\],28.38
i_decode_stage.fetch_state_i\[62\],28.32
i_decode_stage.reg_meta_o\[49\],28.18
_1939_,28.17
net31,28.16
_1153_,28.13
i_exec_stage.data_fwd_o\[39\],28.1
_0916_,28.02
net118,28.02
i_decode_stage.reg_meta_o\[22\],27.99
_1097_,27.96
_1864_,27.9
i_decode_stage.fetch_state_i\[37\],27.88
i_decode_stage.decode_state_o\[4\],27.87
_1604_,27.86
i_mem_slice_stage.pre_data\[13\],27.78
_0699_,27.76
_1599_,27.74
_1736_,27.7
_0710_,27.68
i_mem_slice_stage.pre_data\[21\],27.68
net24,27.68
_0758_,27.64
i_decode_stage.reg_meta_o\[60\],27.56
i_decode_stage.decode_state_o\[63\],27.5
_0494_,27.44
i_decode_stage.fetch_state_i\[40\],27.38
_1801_,27.33
i_decode_stage.decode_state_o\[65\],27.32
_1330_,27.16
i_decode_stage.reg_meta_o\[50\],27.12
clknet_leaf_13_clk_i,27.06
_1486_,27.02
_1923_,27.02
_2148_,26.98
i_mem_slice_stage.mem_state_o\[84\],26.98
_0307_,26.94
_1115_,26.94
_0996_,26.9
_0991_,26.88
_2041_,26.72
_1455_,26.705
_0425_,26.65
dmem_addr_o[14],26.61
_1025_,26.46
_2124_,26.32
i_exec_stage.data_fwd_o\[35\],26.22
_0736_,26.2
dmem_rdata_i[1],26.07
i_decode_stage.reg_meta_o\[28\],26.06
_2093_,25.96
net109,25.58
i_exec_stage.data_fwd_o\[11\],25.52
net124,25.52
_1103_,25.5
_0372_,25.42
i_exec_stage.data_fwd_o\[0\],25.4
net173,25.4
i_decode_stage.reg_meta_o\[37\],25.36
_1699_,25.34
_0911_,25.32
_1665_,25.3
_1358_,25.26
net114,25.26
_0825_,25.24
_0990_,25.14
i_decode_stage.decode_state_o\[70\],25.14
i_mem_slice_stage.pre_data\[12\],25.14
i_mem_slice_stage.mem_state_o\[24\],25.1
_0892_,25.08
i_decode_stage.fetch_state_i\[58\],25.06
i_mem_slice_stage.mem_state_o\[85\],24.98
i_decode_stage.reg_meta_o\[53\],24.86
i_decode_stage.decode_state_o\[240\],24.8
_1123_,24.785
i_mem_slice_stage.mem_state_o\[6\],24.78
i_exec_stage.data_fwd_o\[4\],24.76
_2095_,24.74
_1016_,24.66
_0685_,24.58
_0380_,24.5
_1081_,24.48
dmem_rdata_i[7],24.41
_0800_,24.4
_1379_,24.38
_0910_,24.34
_0491_,24.3
_1206_,24.2
_0987_,24.14
net101,24.14
_2091_,24.1
dmem_wdata_o[31],24.09
i_decode_stage.fetch_state_i\[56\],24
_0954_,23.92
_0616_,23.84
_1784_,23.84
_1481_,23.8
_0310_,23.78
_1508_,23.76
i_decode_stage.decode_state_o\[13\],23.76
_0539_,23.74
_1338_,23.72
_1377_,23.68
_1940_,23.6
_0511_,23.535
i_decode_stage.decode_state_o\[68\],23.44
_0416_,23.34
_0789_,23.34
_1541_,23.32
_0922_,23.3
_1357_,23.26
_1416_,23.24
_0778_,23.22
_1163_,23.18
net16,23.12
_0851_,23.04
_0962_,23.04
net97,23.04
_1356_,23
net4,22.98
_1019_,22.92
dmem_rdata_i[16],22.91
_0334_,22.88
_0694_,22.82
_1671_,22.76
net167,22.76
net5,22.69
