net,length_um
net50,701.31
net46,700.86
net49,697.05
_1967_,694.29
net47,694.26
net43,689.92
net48,689.19
net42,685.32
net41,680.4
net44,676.02
net40,673.2
_2012_,645.24
net131,622.09
net37,514.9
net39,506.04
_1840_,494.56
net153,474.5
net222,472.7
_1936_,451.9
net154,448.51
net144,445.79
_0417_,432.95
_1927_,427.22
net155,426.15
i_exec_stage.alu_out\[1\],424.75
_1198_,423.79
_0411_,423.58
net151,423.44
net145,423.3
_0424_,421.71
net38,421.12
_1982_,421.08
net200,416.36
clk_i,412.16
_2179_,408.06
net211,404.38
net157,400.75
i_exec_stage.alu_out\[0\],400.54
net156,400.515
_0345_,396.28
clknet_2_3__leaf_clk_i,394.91
clknet_2_0__leaf_clk_i,392.82
net142,392.06
net135,390.9
_1839_,387.2
net150,386.025
net158,384.04
_0430_,381.92
net62,380.36
net202,379.19
net152,378.86
net33,378.82
net60,377.88
_0512_,376.63
_2234_,374.1
net132,369.6
net140,367.99
net231,366.14
net134,362.81
net228,361.42
net57,360.16
net133,356.03
net136,351.64
_1924_,351.54
net229,351.18
net227,349.3
net61,348.65
net225,348.58
net143,348.46
net64,347.92
net206,347.2
net201,346.16
clknet_0_clk_i,345.97
net226,344.96
net230,344.94
_2042_,343.845
_0448_,343.555
net51,341.74
net159,339.51
_1129_,338.55
_0413_,338.3
net59,337.12
_0622_,333.77
net219,329.26
_1930_,327.02
net216,325.56
net209,324.52
net141,323.66
_1156_,322.68
net215,322.1
clknet_2_1__leaf_clk_i,321.28
_0709_,316.87
_1937_,316.16
net221,315.9
net147,315.32
net160,314.92
_0343_,314.15
_0523_,314.01
net218,312.68
_0626_,312.4
_0722_,312.26
net138,311.8
net205,311.02
_2333_,309.605
_0479_,309.07
net297,308.2
net66,307.76
_0465_,307.4
net220,307.1
_0525_,306.2
_0453_,306.19
net203,306.02
_1838_,305.52
net161,304.69
_0540_,304.25
net36,304.14
_1158_,304.07
_0707_,303.975
net139,303
_0663_,301.04
net223,299.63
_0495_,298.91
net204,298.8
net65,298.4
net35,296.54
_2207_,296
net207,293.83
i_decode_stage.decode_state_o\[0\],293.58
net54,293.46
net137,292.93
_0503_,292.18
_0440_,292.08
net63,290.18
_0551_,289.21
net52,287.44
net284,286.7
_0660_,286.02
net213,285.96
net58,285.72
_1929_,285.44
_1928_,285.245
_1199_,281.965
_0496_,281.49
_0568_,280.03
net55,278.24
i_decode_stage.decode_state_o\[100\],273.96
_0601_,272.65
_0507_,271.9
_0563_,269.95
net214,268.36
_0590_,267.845
net208,266.4
net53,264.1
net217,262.88
net146,262.85
_0421_,260.95
_0484_,260.2
_0344_,257.04
_0533_,257.02
_0516_,256.66
net212,256.28
net210,253.86
i_decode_stage.decode_state_o\[138\],253.52
_0556_,252.16
net293,252.025
net294,250.67
_0662_,250.24
i_decode_stage.decode_state_o\[147\],249.04
net282,248.11
_0346_,248.05
_0478_,247.32
net291,246.71
_0617_,245.06
_0422_,244.96
net287,244.84
_0608_,242.77
i_decode_stage.decode_state_o\[139\],242.545
i_decode_stage.decode_state_o\[50\],241.9
_0528_,240.67
_0464_,240.39
net295,240.35
_0500_,239.82
_0454_,236.1
net286,234.56
_0470_,234.3
net281,233.76
_0603_,233.74
net289,231.44
net224,231.32
i_decode_stage.decode_state_o\[131\],230.48
_0452_,227.33
_0640_,225.85
net296,225.72
_0455_,220.19
net285,219.795
_0855_,217.39
_1020_,217.09
net288,215.51
_0537_,215.34
_0415_,213.83
_0384_,213.24
i_decode_stage.decode_state_o\[140\],212.49
_1030_,211.87
_0329_,211.24
_0347_,210.98
i_decode_stage.decode_state_o\[130\],209.69
clknet_leaf_27_clk_i,209.325
_0786_,208.98
net276,207.79
_0541_,207.52
_0582_,207.005
net280,206.25
net199,206.05
net279,204.95
_0386_,202.585
i_decode_stage.decode_state_o\[45\],200.84
net292,200.48
i_decode_stage.decode_state_o\[133\],200.41
net178,199.78
_0519_,199.58
clknet_2_2__leaf_clk_i,198.35
net278,197.94
_0532_,197.18
_0794_,196.165
clknet_leaf_22_clk_i,196.04
clknet_leaf_21_clk_i,193.57
_2341_,192.895
net242,190.56
net148,188.13
_0460_,187.69
net253,186.26
_0575_,184.6
net270,183.11
clknet_leaf_16_clk_i,181.42
_0776_,180.14
_0339_,179.445
i_decode_stage.decode_state_o\[132\],178.89
_0529_,178.12
i_mem_slice_stage.mem_state_o\[101\],177.78
clknet_leaf_6_clk_i,177
_1785_,176.52
net195,175.7
_0381_,175.635
_0394_,174.58
_2336_,174.57
i_decode_stage.decode_state_o\[44\],173.5
_0473_,172.34
_0726_,171.58
clknet_leaf_26_clk_i,171.24
_0672_,168.81
net277,168.64
_0596_,168.59
net246,167.81
_0644_,167.65
net275,166.78
_0667_,166.2
i_decode_stage.decode_state_o\[46\],165.78
clknet_leaf_20_clk_i,165.27
i_mem_slice_stage.mem_state_o\[99\],165
clknet_leaf_3_clk_i,164.62
_2048_,164.04
_2047_,163.66
_0656_,162.62
clknet_leaf_15_clk_i,162.54
clknet_leaf_0_clk_i,162.5
clknet_leaf_23_clk_i,161.36
i_mem_slice_stage.mem_state_o\[96\],161
_0488_,160.44
_0731_,160.33
i_mem_slice_stage.mem_state_o\[97\],160.18
_0633_,159.74
_0404_,159.58
net268,159.58
i_decode_stage.reg_meta_o\[81\],158.94
clknet_leaf_29_clk_i,158.68
_0645_,158.52
_1041_,158.315
_2045_,158.23
i_decode_stage.decode_state_o\[48\],157.8
clknet_leaf_8_clk_i,157.65
_1149_,157.27
net272,156.92
_0650_,156.08
_0978_,156.05
_0812_,155.68
_0691_,155.345
net269,155.12
i_decode_stage.decode_state_o\[49\],154.9
_0969_,154.86
_0651_,154.69
_0986_,154.38
clknet_leaf_28_clk_i,154.18
i_mem_slice_stage.mem_state_o\[36\],154.12
net267,154.06
_0552_,153.89
i_decode_stage.decode_state_o\[43\],153.48
_0634_,153.44
_0336_,153.06
i_mem_slice_stage.mem_state_o\[93\],152.94
_0961_,152.89
_0759_,152.62
clknet_leaf_24_clk_i,152.48
net271,152.38
clknet_leaf_5_clk_i,152.12
_0932_,151.985
_0604_,151.84
_0803_,151.7
_0330_,151.63
i_decode_stage.decode_state_o\[137\],151.2
_0545_,150.93
_0908_,150.11
_0949_,149.42
_0768_,148.89
clknet_leaf_1_clk_i,148.62
_0328_,148.065
_0612_,147.7
_0741_,147.01
_0883_,146.75
_0730_,145.8
clknet_leaf_17_clk_i,145.66
_0457_,144.53
net244,144.39
net264,143.92
_1204_,142.785
i_decode_stage.decode_state_o\[47\],142.13
_0712_,141.35
net243,141.22
_0358_,141.105
net290,140.71
_0508_,139.97
_0618_,139.97
_1088_,139.82
i_decode_stage.decode_state_o\[129\],139.48
i_decode_stage.decode_state_o\[134\],139.29
net274,138.48
net166,136.76
_0594_,136.72
_0419_,136.21
i_decode_stage.decode_state_o\[118\],132.46
i_decode_stage.decode_state_o\[122\],132.28
i_decode_stage.decode_state_o\[126\],131.8
i_decode_stage.decode_state_o\[123\],131.16
_0749_,131.1
_1144_,130.715
_0703_,129.6
i_mem_slice_stage.mem_state_o\[94\],129.02
_0584_,128.38
i_mem_slice_stage.mem_state_o\[90\],128.36
_0683_,127.45
_0679_,127.1
_0677_,126.72
_0387_,126.52
_1666_,126.07
i_decode_stage.decode_state_o\[119\],125.66
_0666_,125.52
i_mem_slice_stage.mem_state_o\[92\],125.42
i_mem_slice_stage.mem_state_o\[98\],125.3
i_mem_slice_stage.mem_state_o\[100\],124.92
_0638_,124.6
_0682_,124.57
_0733_,123.905
_1326_,123.68
_0674_,122.81
_0735_,122.73
net261,122.46
i_decode_stage.decode_state_o\[121\],121.84
_0357_,121.82
_0727_,120.15
_0649_,120.04
_1829_,118.77
_0695_,118.7
_0535_,118.42
_0864_,118.26
net188,118.12
net187,118
i_exec_stage.exec_state_o\[5\],117.98
_0447_,117.915
_1706_,117.72
i_mem_slice_stage.mem_state_o\[91\],116.36
net248,116.12
net245,116.08
i_exec_stage.exec_state_o\[8\],115.8
_0743_,115.74
clknet_leaf_7_clk_i,115.735
_0489_,115.73
_0630_,115.66
_0326_,115.59
net254,115.57
_0451_,115.36
clknet_leaf_25_clk_i,115.14
i_decode_stage.decode_state_o\[57\],115.02
_0402_,114.93
i_mem_slice_stage.mem_state_o\[95\],114.74
_0578_,114.07
_0559_,113.6
clknet_leaf_18_clk_i,113
_0701_,111.28
_1702_,110.94
_0439_,110.38
net283,109.72
_2037_,109.695
_0600_,109.39
i_decode_stage.decode_state_o\[239\],109.14
_0945_,108.32
net259,107.9
_1092_,107.42
_0324_,107.25
_0655_,107.07
net263,107.06
_1287_,106.94
net266,106.5
net184,106.46
_0671_,106.28
_0689_,106.26
_0713_,106.12
_0565_,105.94
_0589_,105.66
clknet_leaf_30_clk_i,105.42
i_mem_slice_stage.mem_state_o\[77\],105.19
i_decode_stage.decode_state_o\[52\],105.15
clknet_leaf_2_clk_i,105.02
i_mem_slice_stage.mem_state_o\[74\],104.3
net186,104.04
net262,103.51
i_mem_slice_stage.mem_state_o\[71\],103.34
_0526_,103.22
i_mem_slice_stage.mem_state_o\[102\],103.12
clknet_leaf_9_clk_i,103.04
_1479_,102.6
net193,102.45
_0543_,102.36
_1837_,101.96
_1459_,100.77
_1335_,100.5
_1778_,100.49
clknet_leaf_10_clk_i,100.34
_1398_,100.06
clknet_leaf_19_clk_i,99.94
i_decode_stage.fetch_state_i\[54\],99.79
_0461_,99.64
_0475_,99.595
_0427_,99.29
_0874_,99.24
_2077_,99.045
_0619_,98.86
i_decode_stage.decode_state_o\[127\],98.56
net251,98.37
i_decode_stage.decode_state_o\[22\],98.34
_0917_,98.2
net192,98.16
_0521_,97.4
_0615_,97.02
i_mem_slice_stage.mem_state_o\[76\],96.7
_0468_,96.54
i_decode_stage.decode_state_o\[51\],96.54
_0352_,96.48
_0446_,95.34
_2033_,94.72
