2023-05-14 20:38 | START  | sv_core    | matrix_config_1
2023-05-14 20:38 | START  | sv_core    | matrix_config_0
2023-05-14 20:47 | SUCCESS| sv_core    | 
2023-05-14 20:47 | DONE   | sv_core    | matrix_config_0: Writing report...
2023-05-14 20:47 | DONE   | sv_core    | Deleting run directory...
2023-05-14 20:47 | DONE   | sv_core    | Deleted run directory.
2023-05-14 20:47 | START  | sv_core    | matrix_config_2
2023-05-14 20:47 | SUCCESS| sv_core    | 
2023-05-14 20:47 | DONE   | sv_core    | matrix_config_1: Writing report...
2023-05-14 20:47 | DONE   | sv_core    | Deleting run directory...
2023-05-14 20:47 | DONE   | sv_core    | Deleted run directory.
2023-05-14 20:47 | START  | sv_core    | matrix_config_3
2023-05-14 20:56 | SUCCESS| sv_core    | 
2023-05-14 20:56 | DONE   | sv_core    | matrix_config_2: Writing report...
2023-05-14 20:56 | DONE   | sv_core    | Deleting run directory...
2023-05-14 20:56 | DONE   | sv_core    | Deleted run directory.
2023-05-14 20:56 | START  | sv_core    | matrix_config_4
2023-05-14 20:57 | SUCCESS| sv_core    | 
2023-05-14 20:57 | DONE   | sv_core    | matrix_config_3: Writing report...
2023-05-14 20:57 | DONE   | sv_core    | Deleting run directory...
2023-05-14 20:57 | DONE   | sv_core    | Deleted run directory.
2023-05-14 20:57 | START  | sv_core    | matrix_config_5
2023-05-14 21:06 | SUCCESS| sv_core    | 
2023-05-14 21:06 | DONE   | sv_core    | matrix_config_4: Writing report...
2023-05-14 21:06 | DONE   | sv_core    | Deleting run directory...
2023-05-14 21:06 | DONE   | sv_core    | Deleted run directory.
2023-05-14 21:06 | START  | sv_core    | matrix_config_6
2023-05-14 21:07 | SUCCESS| sv_core    | 
2023-05-14 21:07 | DONE   | sv_core    | matrix_config_5: Writing report...
2023-05-14 21:07 | DONE   | sv_core    | Deleting run directory...
2023-05-14 21:07 | DONE   | sv_core    | Deleted run directory.
2023-05-14 21:07 | START  | sv_core    | matrix_config_7
2023-05-14 21:15 | SUCCESS| sv_core    | 
2023-05-14 21:15 | DONE   | sv_core    | matrix_config_6: Writing report...
2023-05-14 21:15 | DONE   | sv_core    | Deleting run directory...
2023-05-14 21:15 | DONE   | sv_core    | Deleted run directory.
2023-05-14 21:15 | START  | sv_core    | matrix_config_8
2023-05-14 21:17 | SUCCESS| sv_core    | 
2023-05-14 21:17 | DONE   | sv_core    | matrix_config_7: Writing report...
2023-05-14 21:17 | DONE   | sv_core    | Deleting run directory...
2023-05-14 21:17 | DONE   | sv_core    | Deleted run directory.
2023-05-14 21:17 | START  | sv_core    | matrix_config_9
2023-05-14 21:24 | SUCCESS| sv_core    | 
2023-05-14 21:24 | DONE   | sv_core    | matrix_config_8: Writing report...
2023-05-14 21:25 | DONE   | sv_core    | Deleting run directory...
2023-05-14 21:25 | DONE   | sv_core    | Deleted run directory.
2023-05-14 21:25 | START  | sv_core    | matrix_config_10
2023-05-14 21:27 | SUCCESS| sv_core    | 
2023-05-14 21:27 | DONE   | sv_core    | matrix_config_9: Writing report...
2023-05-14 21:27 | DONE   | sv_core    | Deleting run directory...
2023-05-14 21:27 | DONE   | sv_core    | Deleted run directory.
2023-05-14 21:27 | START  | sv_core    | matrix_config_11
2023-05-14 21:34 | SUCCESS| sv_core    | 
2023-05-14 21:34 | DONE   | sv_core    | matrix_config_10: Writing report...
2023-05-14 21:34 | DONE   | sv_core    | Deleting run directory...
2023-05-14 21:34 | DONE   | sv_core    | Deleted run directory.
2023-05-14 21:34 | START  | sv_core    | matrix_config_12
2023-05-14 21:37 | SUCCESS| sv_core    | 
2023-05-14 21:37 | DONE   | sv_core    | matrix_config_11: Writing report...
2023-05-14 21:37 | DONE   | sv_core    | Deleting run directory...
2023-05-14 21:37 | DONE   | sv_core    | Deleted run directory.
2023-05-14 21:37 | START  | sv_core    | matrix_config_13
2023-05-14 21:43 | SUCCESS| sv_core    | 
2023-05-14 21:43 | DONE   | sv_core    | matrix_config_12: Writing report...
2023-05-14 21:43 | DONE   | sv_core    | Deleting run directory...
2023-05-14 21:43 | DONE   | sv_core    | Deleted run directory.
2023-05-14 21:43 | START  | sv_core    | matrix_config_14
2023-05-14 21:46 | SUCCESS| sv_core    | 
2023-05-14 21:46 | DONE   | sv_core    | matrix_config_13: Writing report...
2023-05-14 21:47 | DONE   | sv_core    | Deleting run directory...
2023-05-14 21:47 | DONE   | sv_core    | Deleted run directory.
2023-05-14 21:47 | START  | sv_core    | matrix_config_15
2023-05-14 21:53 | SUCCESS| sv_core    | 
2023-05-14 21:53 | DONE   | sv_core    | matrix_config_14: Writing report...
2023-05-14 21:53 | DONE   | sv_core    | Deleting run directory...
2023-05-14 21:53 | DONE   | sv_core    | Deleted run directory.
2023-05-14 21:53 | Exiting thread 0...
2023-05-14 21:57 | SUCCESS| sv_core    | 
2023-05-14 21:57 | DONE   | sv_core    | matrix_config_15: Writing report...
2023-05-14 21:57 | DONE   | sv_core    | Deleting run directory...
2023-05-14 21:57 | DONE   | sv_core    | Deleted run directory.
2023-05-14 21:57 | Exiting thread 1...
2023-05-14 21:57 | Getting top results...
2023-05-14 21:57 | Done.
