net,length_um
OUT,142.92
net2,130
net1,127.06
IN,11.68
_00_,10.86
_04_,6.44
_02_,5.84
buff3.Z,5.8
EN,4.95
buff1.Z,4.42
buff4.Z,3.56
_01_,3.54
buff2.Z,2.64
_03_,2.62
