design,design_name,config,flow_status,total_runtime,routed_runtime,(Cell/mm^2)/Core_Util,DIEAREA_mm^2,CellPer_mm^2,OpenDP_Util,Final_Util,Peak_Memory_Usage_MB,synth_cell_count,tritonRoute_violations,Short_violations,MetSpc_violations,OffGrid_violations,MinHole_violations,Other_violations,Magic_violations,pin_antenna_violations,net_antenna_violations,lvs_total_errors,cvc_total_errors,klayout_violations,wire_length,vias,wns,pl_wns,optimized_wns,fastroute_wns,spef_wns,tns,pl_tns,optimized_tns,fastroute_tns,spef_tns,HPWL,routing_layer1_pct,routing_layer2_pct,routing_layer3_pct,routing_layer4_pct,routing_layer5_pct,routing_layer6_pct,wires_count,wire_bits,public_wires_count,public_wire_bits,memories_count,memory_bits,processes_count,cells_pre_abc,AND,DFF,NAND,NOR,OR,XOR,XNOR,MUX,inputs,outputs,level,DecapCells,WelltapCells,DiodeCells,FillCells,NonPhysCells,TotalCells,CoreArea_um^2,power_slowest_internal_uW,power_slowest_switching_uW,power_slowest_leakage_uW,power_typical_internal_uW,power_typical_switching_uW,power_typical_leakage_uW,power_fastest_internal_uW,power_fastest_switching_uW,power_fastest_leakage_uW,critical_path_ns,suggested_clock_period,suggested_clock_frequency,CLOCK_PERIOD,FP_ASPECT_RATIO,FP_CORE_UTIL,FP_PDN_HPITCH,FP_PDN_VPITCH,GRT_ADJUSTMENT,GRT_REPAIR_ANTENNAS,PL_TARGET_DENSITY,RUN_HEURISTIC_DIODE_INSERTION,STD_CELL_LIBRARY,SYNTH_MAX_FANOUT,SYNTH_STRATEGY
sv_core,core,matrix_config_0,flow completed,0h8m9s0ms,0h6m10s0ms,78262.85714285714,0.0875,39131.42857142857,44.78,-1,726.89,3015,0,0,0,0,0,0,0,3,3,0,-1,-1,153817,27831,0.0,-1,-1,-1,0.0,0.0,-1,-1,-1,0.0,113279736.0,0.0,44.02,51.4,14.59,32.6,0.29,3028,7760,228,4960,0,0,0,3506,56,181,63,160,468,138,39,620,547,442,24,3643,1098,156,1758,3424,10079,77924.73599999999,-1,-1,-1,0.00417,0.00372,2.24e-08,-1,-1,-1,8.9,12.0,83.33333333333333,12,1,50,153.18,153.6,0.3,1,0.6,0,sky130_fd_sc_hd,30,AREA 0
sv_core,core,matrix_config_1,flow completed,0h8m19s0ms,0h6m21s0ms,78262.85714285714,0.0875,39131.42857142857,44.78,-1,732.23,3015,0,0,0,0,0,0,0,2,2,0,-1,-1,154530,27953,0.0,-1,-1,-1,0.0,0.0,-1,-1,-1,0.0,113279736.0,0.0,44.02,51.4,14.59,32.6,0.29,3028,7760,228,4960,0,0,0,3506,56,181,63,160,468,138,39,620,547,442,24,3645,1098,155,1751,3424,10073,77924.73599999999,-1,-1,-1,0.00417,0.00374,2.24e-08,-1,-1,-1,8.88,12.0,83.33333333333333,12,1,50,153.18,153.6,0.3,1,0.6,0,sky130_fd_sc_hd,30,AREA 0
sv_core,core,matrix_config_3,flow completed,0h7m55s0ms,0h5m56s0ms,78262.85714285714,0.0875,39131.42857142857,44.78,-1,731.48,3015,0,0,0,0,0,0,0,4,3,0,-1,-1,154829,27986,0.0,-1,-1,-1,0.0,0.0,-1,-1,-1,0.0,113279736.0,0.0,44.02,51.4,14.59,32.6,0.29,3028,7760,228,4960,0,0,0,3506,56,181,63,160,468,138,39,620,547,442,24,3639,1098,220,1803,3424,10184,77924.73599999999,-1,-1,-1,0.00417,0.00374,2.25e-08,-1,-1,-1,8.89,12.0,83.33333333333333,12,1,50,153.18,153.6,0.3,1,0.6,0,sky130_fd_sc_hd,30,AREA 0
sv_core,core,matrix_config_2,flow completed,0h8m17s0ms,0h6m18s0ms,78262.85714285714,0.0875,39131.42857142857,44.78,-1,770.05,3015,0,0,0,0,0,0,0,6,6,0,-1,-1,154304,28096,0.0,-1,-1,-1,0.0,0.0,-1,-1,-1,0.0,113279736.0,0.0,44.02,51.4,14.59,32.6,0.29,3028,7760,228,4960,0,0,0,3506,56,181,63,160,468,138,39,620,547,442,24,3638,1098,207,1795,3424,10162,77924.73599999999,-1,-1,-1,0.00417,0.00373,2.25e-08,-1,-1,-1,8.93,12.0,83.33333333333333,12,1,50,153.18,153.6,0.3,1,0.6,0,sky130_fd_sc_hd,30,AREA 0
