2023-05-05 23:24 | START  | sv_core    | matrix_config_0
2023-05-05 23:24 | START  | sv_core    | matrix_config_1
2023-05-05 23:24 | START  | sv_core    | matrix_config_2
2023-05-05 23:24 | START  | sv_core    | matrix_config_3
2023-05-05 23:24 | FAIL   | sv_core    | Check designs/sv_core/runs/matrix_config_1/openlane.log
2023-05-05 23:24 | FAIL   | sv_core    | Check designs/sv_core/runs/matrix_config_0/openlane.log
2023-05-05 23:24 | FAIL   | sv_core    | Check designs/sv_core/runs/matrix_config_2/openlane.log
2023-05-05 23:24 | FAIL   | sv_core    | Check designs/sv_core/runs/matrix_config_3/openlane.log
2023-05-05 23:24 | DONE   | sv_core    | matrix_config_2: Writing report...
2023-05-05 23:24 | DONE   | sv_core    | matrix_config_1: Writing report...
2023-05-05 23:24 | DONE   | sv_core    | matrix_config_3: Writing report...
2023-05-05 23:24 | DONE   | sv_core    | matrix_config_0: Writing report...
2023-05-05 23:24 | DONE   | sv_core    | Deleting run directory...
2023-05-05 23:24 | DONE   | sv_core    | Deleting run directory...
2023-05-05 23:24 | DONE   | sv_core    | Deleting run directory...
2023-05-05 23:24 | DONE   | sv_core    | Deleting run directory...
2023-05-05 23:24 | DONE   | sv_core    | Deleted run directory.
2023-05-05 23:24 | START  | sv_core    | matrix_config_4
2023-05-05 23:24 | DONE   | sv_core    | Deleted run directory.
2023-05-05 23:24 | START  | sv_core    | matrix_config_5
2023-05-05 23:24 | DONE   | sv_core    | Deleted run directory.
2023-05-05 23:24 | START  | sv_core    | matrix_config_6
2023-05-05 23:24 | DONE   | sv_core    | Deleted run directory.
2023-05-05 23:24 | START  | sv_core    | matrix_config_7
2023-05-05 23:24 | FAIL   | sv_core    | Check designs/sv_core/runs/matrix_config_6/openlane.log
2023-05-05 23:24 | FAIL   | sv_core    | Check designs/sv_core/runs/matrix_config_4/openlane.log
2023-05-05 23:24 | FAIL   | sv_core    | Check designs/sv_core/runs/matrix_config_7/openlane.log
2023-05-05 23:24 | FAIL   | sv_core    | Check designs/sv_core/runs/matrix_config_5/openlane.log
2023-05-05 23:24 | DONE   | sv_core    | matrix_config_6: Writing report...
2023-05-05 23:24 | DONE   | sv_core    | matrix_config_4: Writing report...
