design,design_name,config,flow_status,total_runtime,routed_runtime,(Cell/mm^2)/Core_Util,DIEAREA_mm^2,CellPer_mm^2,OpenDP_Util,Final_Util,Peak_Memory_Usage_MB,synth_cell_count,tritonRoute_violations,Short_violations,MetSpc_violations,OffGrid_violations,MinHole_violations,Other_violations,Magic_violations,pin_antenna_violations,net_antenna_violations,lvs_total_errors,cvc_total_errors,klayout_violations,wire_length,vias,wns,pl_wns,optimized_wns,fastroute_wns,spef_wns,tns,pl_tns,optimized_tns,fastroute_tns,spef_tns,HPWL,routing_layer1_pct,routing_layer2_pct,routing_layer3_pct,routing_layer4_pct,routing_layer5_pct,routing_layer6_pct,wires_count,wire_bits,public_wires_count,public_wire_bits,memories_count,memory_bits,processes_count,cells_pre_abc,AND,DFF,NAND,NOR,OR,XOR,XNOR,MUX,inputs,outputs,level,DecapCells,WelltapCells,DiodeCells,FillCells,NonPhysCells,TotalCells,CoreArea_um^2,power_slowest_internal_uW,power_slowest_switching_uW,power_slowest_leakage_uW,power_typical_internal_uW,power_typical_switching_uW,power_typical_leakage_uW,power_fastest_internal_uW,power_fastest_switching_uW,power_fastest_leakage_uW,critical_path_ns,suggested_clock_period,suggested_clock_frequency,CLOCK_PERIOD,FP_ASPECT_RATIO,FP_CORE_UTIL,FP_PDN_HPITCH,FP_PDN_VPITCH,GRT_ADJUSTMENT,GRT_REPAIR_ANTENNAS,PL_TARGET_DENSITY,RUN_HEURISTIC_DIODE_INSERTION,STD_CELL_LIBRARY,SYNTH_MAX_FANOUT,SYNTH_STRATEGY
sv_core,core,matrix_config_1,flow completed,0h8m25s0ms,0h6m23s0ms,78262.85714285714,0.0875,39131.42857142857,44.78,-1,744.44,3015,0,0,0,0,0,0,0,5,5,0,-1,-1,154031,27809,0.0,-1,-1,-1,0.0,0.0,-1,-1,-1,0.0,113279736.0,0.0,44.02,51.4,14.59,32.6,0.29,3028,7760,228,4960,0,0,0,3506,56,181,63,160,468,138,39,620,547,442,24,3678,1098,96,1678,3424,9974,77924.73599999999,-1,-1,-1,0.00417,0.00372,2.25e-08,-1,-1,-1,8.98,12.0,83.33333333333333,12,1,50,153.18,153.6,0.3,1,0.6,0,sky130_fd_sc_hd,30,AREA 0
sv_core,core,matrix_config_2,flow failed,0h0m22s0ms,-1,100500.0,0.06,50250.0,66.89,-1,-1,3015,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,-1,-1,-1,-1,0.0,-1,-1,-1,-1,64045705.0,-1,-1,-1,-1,-1,-1,3028,7760,228,4960,0,0,0,3506,56,181,63,160,468,138,39,620,547,442,24,204,728,0,0,3015,3947,52325.184,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13.0,76.92307692307692,12,1,50,153.18,153.6,0.3,1,0.6,0,sky130_fd_sc_hd,30,AREA 0
sv_core,core,matrix_config_0,flow completed,0h9m9s0ms,0h7m0s0ms,57066.66666666667,0.12,28533.333333333336,31.89,-1,776.88,3015,0,0,0,0,0,0,0,16,16,0,-1,-1,151214,27533,0.0,-1,-1,-1,0.0,0.0,-1,-1,-1,0.0,111821595.0,0.0,33.26,35.49,10.31,21.45,2.17,3028,7760,228,4960,0,0,0,3506,56,181,63,160,468,138,39,620,547,442,24,5916,1551,65,2173,3424,13129,109219.75039999999,-1,-1,-1,0.00422,0.0037,2.41e-08,-1,-1,-1,9.02,12.0,83.33333333333333,12,1,50,153.18,153.6,0.3,1,0.6,0,sky130_fd_sc_hd,30,AREA 0
sv_core,core,matrix_config_3,flow failed,0h0m20s0ms,-1,-2.0,-1,-1,-1,-1,-1,3015,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,-1,-1,-1,-1,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3028,7760,228,4960,0,0,0,3506,56,181,63,160,468,138,39,620,547,442,24,0,0,0,0,3015,3015,31362.579199999996,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13.0,76.92307692307692,12,1,50,56.440,34.730,0.3,1,0.6,0,sky130_fd_sc_hd,30,AREA 0
