design,design_name,config,flow_status,total_runtime,routed_runtime,(Cell/mm^2)/Core_Util,DIEAREA_mm^2,CellPer_mm^2,OpenDP_Util,Final_Util,Peak_Memory_Usage_MB,synth_cell_count,tritonRoute_violations,Short_violations,MetSpc_violations,OffGrid_violations,MinHole_violations,Other_violations,Magic_violations,pin_antenna_violations,net_antenna_violations,lvs_total_errors,cvc_total_errors,klayout_violations,wire_length,vias,wns,pl_wns,optimized_wns,fastroute_wns,spef_wns,tns,pl_tns,optimized_tns,fastroute_tns,spef_tns,HPWL,routing_layer1_pct,routing_layer2_pct,routing_layer3_pct,routing_layer4_pct,routing_layer5_pct,routing_layer6_pct,wires_count,wire_bits,public_wires_count,public_wire_bits,memories_count,memory_bits,processes_count,cells_pre_abc,AND,DFF,NAND,NOR,OR,XOR,XNOR,MUX,inputs,outputs,level,DecapCells,WelltapCells,DiodeCells,FillCells,NonPhysCells,TotalCells,CoreArea_um^2,power_slowest_internal_uW,power_slowest_switching_uW,power_slowest_leakage_uW,power_typical_internal_uW,power_typical_switching_uW,power_typical_leakage_uW,power_fastest_internal_uW,power_fastest_switching_uW,power_fastest_leakage_uW,critical_path_ns,suggested_clock_period,suggested_clock_frequency,CLOCK_PERIOD,FP_ASPECT_RATIO,FP_CORE_UTIL,FP_PDN_HPITCH,FP_PDN_VPITCH,GRT_ADJUSTMENT,GRT_REPAIR_ANTENNAS,PL_TARGET_DENSITY,RUN_HEURISTIC_DIODE_INSERTION,STD_CELL_LIBRARY,SYNTH_MAX_FANOUT,SYNTH_STRATEGY
sv_core,core,matrix_config_3,flow completed,0h5m42s0ms,0h4m27s0ms,34250.0,0.2,17125.0,18.6,-1,629.03,3015,0,0,0,0,0,0,114630,0,0,0,-1,-1,153828,27263,0.0,-1,-1,-1,0.0,0.0,-1,-1,-1,0.0,120705673.0,0.0,21.49,21.55,6.56,13.07,0.33,3028,7760,228,4960,0,0,0,3506,56,181,63,160,468,138,39,620,547,442,24,11542,2655,0,3147,3425,20769,186772.88,-1,-1,-1,0.00422,0.00365,2.78e-08,-1,-1,-1,9.12,12.0,83.33333333333333,12,1,50,180,180,0.3,1,0.6,0,sky130_fd_sc_hd,30,AREA 0
sv_core,core,matrix_config_0,flow completed,0h5m43s0ms,0h4m29s0ms,34250.0,0.2,17125.0,18.6,-1,629.11,3015,0,0,0,0,0,0,114630,0,0,0,-1,-1,153828,27263,0.0,-1,-1,-1,0.0,0.0,-1,-1,-1,0.0,120705673.0,0.0,21.49,21.55,6.56,13.07,0.33,3028,7760,228,4960,0,0,0,3506,56,181,63,160,468,138,39,620,547,442,24,11542,2655,0,3147,3425,20769,186772.88,-1,-1,-1,0.00422,0.00365,2.78e-08,-1,-1,-1,9.12,12.0,83.33333333333333,12,1,50,180,180,0.3,1,0.6,0,sky130_fd_sc_hd,30,AREA 0
sv_core,core,matrix_config_1,flow completed,0h5m42s0ms,0h4m28s0ms,34250.0,0.2,17125.0,18.6,-1,629.11,3015,0,0,0,0,0,0,114630,0,0,0,-1,-1,153828,27263,0.0,-1,-1,-1,0.0,0.0,-1,-1,-1,0.0,120705673.0,0.0,21.49,21.55,6.56,13.07,0.33,3028,7760,228,4960,0,0,0,3506,56,181,63,160,468,138,39,620,547,442,24,11542,2655,0,3147,3425,20769,186772.88,-1,-1,-1,0.00422,0.00365,2.78e-08,-1,-1,-1,9.12,12.0,83.33333333333333,12,1,50,180,180,0.3,1,0.6,0,sky130_fd_sc_hd,30,AREA 0
sv_core,core,matrix_config_2,flow completed,0h5m43s0ms,0h4m28s0ms,34250.0,0.2,17125.0,18.6,-1,628.98,3015,0,0,0,0,0,0,114630,0,0,0,-1,-1,153828,27263,0.0,-1,-1,-1,0.0,0.0,-1,-1,-1,0.0,120705673.0,0.0,21.49,21.55,6.56,13.07,0.33,3028,7760,228,4960,0,0,0,3506,56,181,63,160,468,138,39,620,547,442,24,11542,2655,0,3147,3425,20769,186772.88,-1,-1,-1,0.00422,0.00365,2.78e-08,-1,-1,-1,9.12,12.0,83.33333333333333,12,1,50,180,180,0.3,1,0.6,0,sky130_fd_sc_hd,30,AREA 0
sv_core,core,matrix_config_6,flow completed,0h5m37s0ms,0h4m22s0ms,34350.0,0.2,17175.0,18.6,-1,635.99,3015,0,0,0,0,0,0,114684,0,0,0,-1,-1,153969,27218,0.0,-1,-1,-1,0.0,0.0,-1,-1,-1,0.0,120705673.0,0.0,21.31,21.35,6.92,13.66,0.97,3028,7760,228,4960,0,0,0,3506,56,181,63,160,468,138,39,620,547,442,24,11538,2655,0,3147,3435,20775,186772.88,-1,-1,-1,0.00422,0.00365,2.78e-08,-1,-1,-1,9.13,12.0,83.33333333333333,12,1,50,180,180,0.3,1,0.6,0,sky130_fd_sc_hd,30,AREA 0
sv_core,core,matrix_config_7,flow completed,0h5m37s0ms,0h4m23s0ms,34350.0,0.2,17175.0,18.6,-1,635.99,3015,0,0,0,0,0,0,114684,0,0,0,-1,-1,153969,27218,0.0,-1,-1,-1,0.0,0.0,-1,-1,-1,0.0,120705673.0,0.0,21.31,21.35,6.92,13.66,0.97,3028,7760,228,4960,0,0,0,3506,56,181,63,160,468,138,39,620,547,442,24,11538,2655,0,3147,3435,20775,186772.88,-1,-1,-1,0.00422,0.00365,2.78e-08,-1,-1,-1,9.13,12.0,83.33333333333333,12,1,50,180,180,0.3,1,0.6,0,sky130_fd_sc_hd,30,AREA 0
sv_core,core,matrix_config_4,flow completed,0h5m48s0ms,0h4m33s0ms,34250.0,0.2,17125.0,18.6,-1,629.03,3015,0,0,0,0,0,0,114630,0,0,0,-1,-1,153828,27263,0.0,-1,-1,-1,0.0,0.0,-1,-1,-1,0.0,120705673.0,0.0,21.49,21.55,6.56,13.07,0.33,3028,7760,228,4960,0,0,0,3506,56,181,63,160,468,138,39,620,547,442,24,11542,2655,0,3147,3425,20769,186772.88,-1,-1,-1,0.00422,0.00365,2.78e-08,-1,-1,-1,9.12,12.0,83.33333333333333,12,1,50,180,180,0.3,1,0.6,0,sky130_fd_sc_hd,30,AREA 0
sv_core,core,matrix_config_5,flow completed,0h5m47s0ms,0h4m33s0ms,34250.0,0.2,17125.0,18.6,-1,628.89,3015,0,0,0,0,0,0,114630,0,0,0,-1,-1,153828,27263,0.0,-1,-1,-1,0.0,0.0,-1,-1,-1,0.0,120705673.0,0.0,21.49,21.55,6.56,13.07,0.33,3028,7760,228,4960,0,0,0,3506,56,181,63,160,468,138,39,620,547,442,24,11542,2655,0,3147,3425,20769,186772.88,-1,-1,-1,0.00422,0.00365,2.78e-08,-1,-1,-1,9.12,12.0,83.33333333333333,12,1,50,180,180,0.3,1,0.6,0,sky130_fd_sc_hd,30,AREA 0
sv_core,core,matrix_config_8,flow completed,0h5m43s0ms,0h4m27s0ms,34350.0,0.2,17175.0,18.6,-1,636.08,3015,0,0,0,0,0,0,114684,0,0,0,-1,-1,153969,27218,0.0,-1,-1,-1,0.0,0.0,-1,-1,-1,0.0,120705673.0,0.0,21.31,21.35,6.92,13.66,0.97,3028,7760,228,4960,0,0,0,3506,56,181,63,160,468,138,39,620,547,442,24,11538,2655,0,3147,3435,20775,186772.88,-1,-1,-1,0.00422,0.00365,2.78e-08,-1,-1,-1,9.13,12.0,83.33333333333333,12,1,50,180,180,0.3,1,0.6,0,sky130_fd_sc_hd,30,AREA 0
sv_core,core,matrix_config_9,flow completed,0h6m29s0ms,0h5m14s0ms,34210.0,0.2,17105.0,18.6,-1,627.24,3015,0,0,0,0,0,0,114206,0,0,0,-1,-1,154321,27224,0.0,-1,-1,-1,0.0,0.0,-1,-1,-1,0.0,121663012.0,0.0,22.27,21.74,5.55,12.84,0.03,3028,7760,228,4960,0,0,0,3506,56,181,63,160,468,138,39,620,547,442,24,11554,2655,0,3146,3421,20776,186772.88,-1,-1,-1,0.00416,0.00365,2.77e-08,-1,-1,-1,8.99,12.0,83.33333333333333,12,1,50,180,180,0.3,1,0.6,0,sky130_fd_sc_hd,30,AREA 0
