design,design_name,config,flow_status,total_runtime,routed_runtime,(Cell/mm^2)/Core_Util,DIEAREA_mm^2,CellPer_mm^2,OpenDP_Util,Final_Util,Peak_Memory_Usage_MB,synth_cell_count,tritonRoute_violations,Short_violations,MetSpc_violations,OffGrid_violations,MinHole_violations,Other_violations,Magic_violations,pin_antenna_violations,net_antenna_violations,lvs_total_errors,cvc_total_errors,klayout_violations,wire_length,vias,wns,pl_wns,optimized_wns,fastroute_wns,spef_wns,tns,pl_tns,optimized_tns,fastroute_tns,spef_tns,HPWL,routing_layer1_pct,routing_layer2_pct,routing_layer3_pct,routing_layer4_pct,routing_layer5_pct,routing_layer6_pct,wires_count,wire_bits,public_wires_count,public_wire_bits,memories_count,memory_bits,processes_count,cells_pre_abc,AND,DFF,NAND,NOR,OR,XOR,XNOR,MUX,inputs,outputs,level,DecapCells,WelltapCells,DiodeCells,FillCells,NonPhysCells,TotalCells,CoreArea_um^2,power_slowest_internal_uW,power_slowest_switching_uW,power_slowest_leakage_uW,power_typical_internal_uW,power_typical_switching_uW,power_typical_leakage_uW,power_fastest_internal_uW,power_fastest_switching_uW,power_fastest_leakage_uW,critical_path_ns,suggested_clock_period,suggested_clock_frequency,CLOCK_PERIOD,FP_ASPECT_RATIO,FP_CORE_UTIL,FP_PDN_HPITCH,FP_PDN_VPITCH,GRT_ADJUSTMENT,GRT_REPAIR_ANTENNAS,PL_TARGET_DENSITY,RUN_HEURISTIC_DIODE_INSERTION,STD_CELL_LIBRARY,SYNTH_MAX_FANOUT,SYNTH_STRATEGY
peripheral_unit_3,peripheral_unit,matrix_config_0,flow failed,3h38m40s0ms,1h29m37s0ms,7039.811643835616,10.2784,3519.905821917808,3.6,-1,13009.06,33664,0,0,0,0,0,0,0,46,43,0,-1,-1,1590544,269612,0.0,-1,-1,-1,0.0,0.0,-1,-1,-1,0.0,1154181774.0,0.0,4.31,4.98,0.56,1.51,0.0,28058,46388,2707,18777,0,0,0,33260,1355,337,824,1981,5582,4202,566,1834,6268,6061,31,708804,144900,718,150929,36179,1041530,10173980.1536,-1,-1,-1,0.0376,0.0216,6.83e-07,-1,-1,-1,8.78,12.0,83.33333333333333,12,1,50,180,180,0.3,1,0.6,0,sky130_fd_sc_hd,30,AREA 0
peripheral_unit_3,peripheral_unit,matrix_config_1,flow failed,3h42m7s0ms,1h33m19s0ms,6998.560087173101,10.2784,3499.2800435865506,3.6,-1,12987.6,33664,0,0,0,0,0,0,0,39,37,0,-1,-1,1566413,269644,0.0,-1,-1,-1,0.0,0.0,-1,-1,-1,0.0,1165285849.0,0.0,4.2,4.94,0.55,1.42,0.02,28058,46388,2707,18777,0,0,0,33260,1355,337,824,1981,5582,4202,566,1834,6268,6061,31,709148,144900,953,151328,35967,1042296,10173980.1536,-1,-1,-1,0.0359,0.021,6.83e-07,-1,-1,-1,8.42,12.0,83.33333333333333,12,1,50,180,180,0.3,1,0.6,0,sky130_fd_sc_hd,30,AREA 0
peripheral_unit_3,peripheral_unit,matrix_config_2,flow failed,3h42m17s0ms,1h33m34s0ms,7024.439601494396,10.2784,3512.219800747198,3.6,-1,13042.09,33664,0,0,0,0,0,0,0,33,30,0,-1,-1,1597214,273777,0.0,-1,-1,-1,0.0,0.0,-1,-1,-1,0.0,1209850227.0,0.0,4.32,5.03,0.55,1.39,0.0,28058,46388,2707,18777,0,0,0,33260,1355,337,824,1981,5582,4202,566,1834,6268,6061,31,709106,144900,1039,151556,36100,1042701,10173980.1536,-1,-1,-1,0.0368,0.0217,6.84e-07,-1,-1,-1,7.87,12.0,83.33333333333333,12,1,50,180,180,0.3,1,0.6,0,sky130_fd_sc_hd,30,AREA 0
